name_cn,name_en,type,grapes,favor,age,market_price,price,score,click,factory,location
尼尔•埃利斯优质斯特兰德霞多丽干白葡萄酒,"Neil Ellis Premium Stellenbosch Chardonnay, Stellenbosch, South Africa",白葡萄酒,霞多丽,罐头桃子 柠檬 草药,2011,210,-1,"史蒂芬·坦泽:0.89
酒窖追踪:0.9
《葡萄酒爱好者》:0.87
《葡萄酒与烈酒》:0.9
史蒂芬·坦泽:0.89",1629,尼尔•埃利斯酒庄,南非-斯特兰德
维多克·雨果维欧尼干白葡萄酒,"Victor Hugo Winery Viognier, Paso Robles, USA",白葡萄酒,维欧尼,口感浓郁 余味悠长,2013,-1,-1,,1107,维克多·雨果酒庄,美国-帕索罗布尔斯
艾维珊木海登菲黑皮诺红葡萄酒,"Evesham Wood Haden Fig Pinot Noir, Willamette Valley, USA",红葡萄酒,黑皮诺,樱桃 树莓,2014,-1,-1,,366,艾维珊木酒庄,美国-俄勒冈州
摩尔森酒庄白中白干型起泡酒,"Moreson Blanc de Blanc Brut, Franschhoek Valley, South Africa",起泡酒,霞多丽,柑橘,2013,-1,-1,《葡萄酒爱好者》:0.83,1596,摩尔森酒庄,南非-弗兰谷
华夏海岸水城珍藏级高级干红葡萄酒,"Huaxia Haian Winery Waterwall Reserve Superium Red, Yantai, China",红葡萄酒,,,-1,-1,-1,,515,烟台华夏海岸葡萄酒,中国-烟台
华夏海岸纳博斯特特选梅洛干红葡萄酒,"Huaxia Haian Winery Nabositel Selection Merlot, Yantai, China",红葡萄酒,梅洛,,-1,-1,-1,,866,烟台华夏海岸葡萄酒,中国-烟台
新德西拉干红葡萄酒,"Cinder Wines Syrah, Snake River Valley, USA",红葡萄酒,西拉,果酱 香肠 香料 咖啡 丝滑,2014,-1,-1,,799,新德酒庄,美国-爱达荷州
圣雨果酒庄设拉子红葡萄酒（库纳瓦拉）,"St Hugo Shiraz, Coonawarra, Australia",红葡萄酒,西拉,矿物质 黑醋栗 桑椹,2016,-1,-1,《詹姆士·韩礼德澳大利亚葡萄酒指南》:0.94,69,圣雨果酒庄,澳大利亚-库纳瓦拉
埃米希春山系列赤霞珠干红葡萄酒,"Amici Cellars Spring Mountain Cabernet Sauvignon, Napa Valley, USA",红葡萄酒,"赤霞珠
品丽珠",红色水果 紫丁香 黑醋栗 巧克力 甘草 橡木,2012,820,-1,,880,埃米希酒庄,美国-纳帕谷
索维酒庄史维瓦岩超级里帕索干红葡萄酒,"Cantina di Soave Rocca Sveva Valpolicella Superiore Ripasso DOC, Veneto, Italy",红葡萄酒,"科维纳
莫利纳拉",,2009,330,-1,"《葡萄酒观察家》:0.89
酒窖追踪:0.87
《葡萄酒爱好者》:0.88
《醇鉴》:0.3
《醇鉴》:0.6",1617,索维酒庄,意大利-威尼托
